Overview,Website,Industry,Company size,Headquarters,Founded,Specialties,Phone
"DSP Mutual Fund is the domestic mutual funds arm of DSP Investment Managers Pvt Ltd, a leading Indian asset management firm with a 25 year old track record.

At DSP Investment Managers, we are on a quest to help a diverse set of clients #InvestForGood via a wide range of products. This includes active strategies like domestic mutual funds & funds that give you access to international opportunities via the Fund of Funds route, in addition to passive strategies such as index funds & ETFs. 

DSP Group, the family behind DSPIM, is one of the oldest financial services companies in India with a history of over 150 years. 

We hire the best people who are passionate about growth and believe in our shared values. 

For more, visit www.DSPIM.com or invest with us at www.DSPIM.com/invest. 

Mutual Fund investments are subject to market risks, read all scheme related documents carefully.",http://www.DSPIM.com,Financial Services,"201-500 employees 617 on LinkedIn
            
 



    Includes members with current employer listed as DSP Mutual Fund, including part-time roles.","Mumbai, Maharashtra",1996,"Mutual Funds, Investment Management, Asset Management, and Financial Services",
"BankBazaar.com is India’s largest fintech co-branded credit card issuer and online platform for free credit score. It has a captive base of 50Mn registered users who use the platform for free credit score tracking and in-depth personal finance content and comparison tools.

Supported by global investors such as WSV, Experian, Eight Roads, Sequoia India, Walden International and Amazon, BankBazaar has been at the forefront of democratising finance in India by providing end users with frictionless access to credit.

BankBazaar has offices in Chennai, Bangalore, and Mumbai.",http://www.bankbazaar.com,Financial Services,"1,001-5,000 employees 539 on LinkedIn
            
 



    Includes members with current employer listed as BankBazaar India, including part-time roles.","Chennai, Tamil Nadu",2008,"Personal Finance, Internet, Loans, Credit cards, and Mutual Funds",
"We at sbi securities carry the proud lineage of SBI – a brand trusted by every Indian. We offer a pool of investment products and services across various asset classes. You can choose to invest in equity, derivatives, mutual funds, corporate fixed deposits, bonds, insurance, loans and NCDs suiting your financial needs. With our newly launched trading platform, managing investments has become easier than ever.  

For more details visit us at www.sbisecurities.in",https://www.sbisecurities.in/,Financial Services,"5,001-10,000 employees 2,100 on LinkedIn
            
 



    Includes members with current employer listed as SBI Securities, including part-time roles.","Mumbai, Maharashtra",2006,"Retail Broking, Institutional Broking, Debt, Sales & Distribution, Wealth Management, stock market, mutual funds, investment, investment advisor, demat account, demat and trading account, and stock market trading","022 6854 5555
            

              Phone number is 022 6854 5555"
"PGIM, the investment management business of Prudential Financial, Inc.* is a multi-manager that delivers industry-leading strategies and solutions to clients. Each business maintains its own investment process and culture, allowing for a singular focus on delivering investment returns for clients. 

The PGIM businesses offer investors a wide range of investment strategies across asset classes and geographies, including public equities, public and private fixed income, commercial mortgages and real estate. Clients of PGIM can rely on superior long-term performance, risk management expertise and innovative products to help them realize a wide range of business objectives. 

In addition, PGIM uses its collective knowledge and business expertise to work with public, private and non-profit sector partners to create solutions that address critical social issues that have an enduring impact.

*Prudential Financial, Inc. of the United States is not affiliated in any manner with Prudential plc, incorporated in the United Kingdom or with Prudential Assurance Company, a subsidiary of M&G plc, incorporated in the United Kingdom.

Important disclosures regarding your use of this LinkedIn page can be found at → PGIM.com/Disclaimer",https://www.PGIM.com,Financial Services,"1,001-5,000 employees 3,676 on LinkedIn
            
 



    Includes members with current employer listed as PGIM, including part-time roles. Also includes employees from subsidiaries: PGIM Real Estate,PGIM Private Capital,PGIM Fixed Income and 4 more.","Newark, NJ",,"Investment Management, Fixed Income, Equities, Private Capital, Mutual Funds, ETFs, Real Estate, Quantitative, Global Investment, Institutional Investing, and Multi-asset class portfolios",
"COMPANY DESCRIPTION:
****************************************************************
Anand Rathi is a leading full service investment bank founded in 1994 offering a wide range of financial services and wealth management solutions to institutions, corporations, high–net worth individuals and families. The firm has rapidly expanded its footprint to over 350 locations across India with international presence in Dubai , Hong Kong & New York. Founded by Mr. Anand Rathi and Mr. Pradeep Gupta, the group today employs over 2,500 professionals through out India and its international offices.

The firm’s philosophy is entirely client centric, with a clear focus on providing long term value addition to clients, while maintaining the highest standards of excellence, ethics and professionalism. The entire firm activities are divided across distinct client groups: Individuals, Private Clients, Corporate and Institutions. AnandRathi has been named The Best Domestic Private Bank in India by Asiamoney in their Fifth Annual Private Banking Poll 2009. The firm has emerged a winner across all key segments in Asiamoney’s largest survey of high net worth individuals in India. 

In year 2007 Citigroup Venture Capital International joined the group as a financial partner.",https://anandrathi.com/,Financial Services,"1,001-5,000 employees 2,457 on LinkedIn
            
 



    Includes members with current employer listed as Anand Rathi Shares and Stock Brokers Ltd, including part-time roles.","Mumbai, Maharashtra",1994,"Internet Broking, Financial Services, Private Wealth Management, Investment Banking, Institutional Equities, Commodities, Mutual Funds, Currency, Investment Services, Portfolio Management, Insurance, Derivatives, IPO, and Online Trading",
"Fi is on a path to revolutionise the way the next generation of Indians handle their money. And here’s why:

👉 We believe that information is power. The Fi Money app presents you with easy to understand information on your spending, investing, and saving habits. The more you know, the better your decision making.

👉 Simplicity wins. We shave off layers of complexity using tech, design, and communication to help you get closer to your money. Your money should always be in your control.

👉 Safe, Secure, World Class. Our team comes from the who’s-who of tech companies from around the world, distilling decades worth of knowledge into a product built for Indians. Our experience exists to improve yours.

👉Join us and build for the next billion. From data-driven decision making, to high quality tech and mentorship, we believe in giving Fi-ans a fulfilling career, because it takes the best to build the best. 

Check us out at: https://fi.money/careers",https://fi.money/,Financial Services,"201-500 employees 840 on LinkedIn
            
 



    Includes members with current employer listed as Fi, including part-time roles.","Bangalore, Karnataka",2019,"Financial Services, Internet, and Tech",
"JM Financial, one of India’s prominent integrated financial services group, offers an array of services to corporations, financial institutions, high net-worth individuals and retail. 

The Group is known for its diverse businesses, it’s primary businesses include (i) Investment Bank (IB) shall cater to Institutional, Corporate, Government and Ultra High Networth clients and includes investment banking, institutional equities and research, private equity funds, fixed income, syndication and finance; (ii) Mortgage Lending includes both wholesale mortgage lending and retail mortgage lending (home loans, education institutions lending and LAP); (iii) Alternative and Distressed Credit includes the asset reconstruction business and alternative credit funds; and (iv)Asset management, Wealth management and Securities business (Platform AWS) shall provide an integrated investment platform to individual clients and includes wealth management business, broking, PMS and mutual fund business. 

Over the years, JM Financial has partnered with several leading Indian and International clients and earned their trust and confidence. JM Financial has pioneered several strategies and transactions for a wide client base spread across geographies and thus developed rich experience and expertise. Every idea is unique to the need of the client and supported by superior and timely execution to deliver maximum benefits. 

The Group is headquartered in Mumbai and has to its credit several national and international accolades for its insightful advice and execution skills.

JM Financial Group is deeply committed to investing in initiatives that improve and foster communities enabling them to sustain themselves. The Group, along with its employees, actively supports various causes related to education, healthcare, skill development, entrepreneurship promotion, disaster relief and animal welfare.",http://www.jmfl.com,Financial Services,"1,001-5,000 employees 2,375 on LinkedIn
            
 



    Includes members with current employer listed as JM Financial Ltd, including part-time roles. Also includes employees from subsidiary: JM Financial Services Ltd.","Mumbai, Maharashtra",,"Investment Banking, Investment Advisory, Institutional Securities, Asset Management, Private Equity, Real Estate Fund, Asset Reconstruction, Commodities Broking, Non Banking Financial Products, and Home Loans",
"Protium’s role is to be the pre-eminent engineering led, risk focused lender in the country. Protium is a full stack lender with pan India branch presence. We operate under - Protium Finance, Protium Money & Protium Sakshara which lend to MSME, consumers and educational institutions. Protium uses proprietary models to assess revenues and growth to equip their customers with solutions. We serve our customers through diverse channels including  digital interfaces, platform-based partnerships, dedicated sales teams and DSAs. Protium boasts of scalable, secure state management systems that deliver best in class lending APIs, workflow and underwriting capabilities. Their lending capabilities include providing both secured and unsecured lending solutions from INR 1 Lakh to 5 Crore to thriving small businesses in tier 1, 2 and 3 cities, financing durables of all price ranges and personal loans to the consumer segment.
Our mission is to fuel ambition – make credit accessible to small & medium businesses and empower consumers to make faster, flexible and convenient purchase decisions. We achieve this through “Fundamental Thinking-to-Engineer Finance” that combines our ability to simplify principles and create powerful proprietary fintech solutions to empower customers and ourselves.  
Protium Finance offers secured and unsecured loans to MSMEs anywhere in India. We assist small enterprises, owners to scale up and build better with the capital & flexibility needed to pivot the business and thrive.  Let’s talk about what your business needs. 
No more holding back. Protium Money is our consumer lending platform with a huge network of trusted partners offering effortless credit solutions. So, more freedom for you, when you need it most.
The purpose of education is empowerment. Protium Sakshara offers customized loan products for edupreneurs and educational institutions to help fund your capital or operational expenditure requirements.",http://www.protium.co.in,Financial Services,"1,001-5,000 employees 584 on LinkedIn
            
 



    Includes members with current employer listed as Protium, including part-time roles.","Mumbai, Maharashtra",2019,Business Loans and MSME Business Loans,
"Reliance Mutual Fund is now Nippon India Mutual Fund! 

Our sponsor, Nippon Life Insurance Company, is a 130 year old Japanese institution with total assets of over Rs 49 Lakh Crores. 

Nippon India Mutual Fund is one of the fastest growing Mutual
Funds in India, and offers investors a well-rounded portfolio of investments products and has a presence in 300 cities across the country. 

We come to you with a renewed energy with sharp focus on our core values that have been our foundation for over 25 years. We will continue to strive to help you achieve your investment goals.",http://RelianceMutual.com,Financial Services,"501-1,000 employees 661 on LinkedIn
            
 



    Includes members with current employer listed as Reliance Mutual Fund, including part-time roles.","Mumbai, Maharashtra",1995,"Liquid Funds, Debt/Income Funds, Equity Diversified Funds/ Sector Specific Funds, Exchange Traded Funds, and Mutual Funds",
"India’s largest agri enterprise, Samunnati is an open agri network to unlock the trillion-dollar plus potential of Indian agriculture with smallholder farmers at the center of it. 

Staying true to its name, Samunnati stands for collective growth & collective prosperity for the agri ecosystem. Serving the entire value chain, Samunnati’s Agri Commerce and Agri Finance solutions enable affiliated Farmer Collectives and the larger ecosystem to be more efficient and productive through multiple technology enabled interventions and collaborative partnerships.

Headquartered in Chennai, Tamil Nadu, India, Samunnati has a presence in more than 100 agri value chains spread over 22 states in India and has powered over $1Bn of gross transaction value in its journey so far. Samunnati currently has access to 1500+ Farmer Collectives with a member base of over 6 million farmers and envisions impacting 1 in every 4 farming households through its network by 2027.",http://www.samunnati.com,Financial Services,"201-500 employees 756 on LinkedIn
            
 



    Includes members with current employer listed as Samunnati, including part-time roles.","Chennai, Tamil Nadu",2014,"Value Chain Finance, Agri value chains, Financial services, Non-financial services, Agri Enterprise Finance, Agricultural Finance, Market Linkage, Agtech, Fintech, Advisory Services , and Leadership Training","044-66762400
            

              Phone number is 044-66762400"
"CoinSwitch is on a mission to Make Money Equal for All. India’s largest crypto investing app and a Great Place to Work®, CoinSwitch is creating an ecosystem that simplifies crypto and is trusted by over 1.8 crore registered users. Founded in 2017 by Ashish Singhal, Govind Soni, and Vimal Sagar Tiwari, and backed by blue chip investors including Andreessen Horowitz (a16z), Tiger Global, Sequoia Capital, Ribbit Capital, Paradigm, and Coinbase Ventures, the company is evolving into a wealth-tech destination for every Indian. For more information, visit: www.coinswitch.co",https://coinswitch.co/,Financial Services,"501-1,000 employees 501 on LinkedIn
            
 



    Includes members with current employer listed as CoinSwitch Kuber, including part-time roles.","Bangalore, Karnataka",2017,"Cryptocurrency, Blockchain, and Financial Services",
"Ventura Securities is an omnichannel trading and investments platform with a network of branches, sub-brokers and Digital Channels. Incorporated in 1994, Ventura is a Mumbai, India based SEBI registered financial service provider and a member of NSE, BSE, MCX, NCDEX, NSDL, and CDSL.

Ventura offers online stock trading, commodity trading, currency derivatives trading, mutual funds and demat account. The company also provides portfolio management services and customised investment planning support. 

Ventura’s desktop platform, Pointer, and Mobile App, Ventura Wealth, provides easy, fast and secure online trading access to its customers and partners.",http://www.ventura1.com,Capital Markets,"1,001-5,000 employees 1,905 on LinkedIn
            
 



    Includes members with current employer listed as Ventura, including part-time roles.","Mumbai Metropolitan Region, Maharashtra",1994,"Equity, Derivatives, Commodites, Mutual Fund, Insurance, and Currency Futures","022 61967296
            

              Phone number is 022 61967296"
"CRISIL Global Research & Risk Solutions (part of S&P Global Inc), is the world's largest and top-ranked provider of high-end research and risk solutions. We leverage our decades of experience as the premium research provider, and as the largest provider of equity and fixed-income research support to global customers across the sell-side and buy-side. Our research support enables coverage of thousands of corporates and financial institutions globally. 

CRISIL is considered as a partner of choice and the foremost provider of end-to-end risk, research and analytics services, which includes qualitative and quantitative support, front and middle office support, regulatory and business process change management support to trading, risk management, regulatory and CFO functions at some of the world's leading financial institutions. We continue to innovate by extending our thought leadership and expertise in data analytics for hedge funds, asset managers and wealth management firms; financial crime and compliance analytics to banks and financial institutions; and, customised solutions created in collaboration with teams of data scientists, quants and technologists.

CRISIL’s global footprint includes seven research centers in Argentina, China, India and Poland, and work with clients in multiple languages and time zones.",https://www.crisil.com/en/home/our-businesses/global-research-and-risk-solutions.html#,Financial Services,"1,001-5,000 employees 1,324 on LinkedIn
            
 



    Includes members with current employer listed as CRISIL Global Research & Risk Solutions, including part-time roles.","Mumbai, Maharashtra",,"Equity Research, Fixed Income Research & Quant Research, Derivatives Research and Analytics, Quantitative Research, Model Validation, Risk Management and Analytics, Actuarial Sciences, Business Intelligence, and Market Intelligence",
"​Headquartered in Gurgaon, ​Aye Finance is a new-age finance company providing business loans to ​​small and micro enterprises across India​.

 ​Since 2014 we have continued to​ chart an exciting growth path in this under-banked segment while maintaining a high benchmark for credit quality​​. 

These millions of profitable small and micro businesses are, essentially, locked out of the financial system. We believe we can overcome this financing challenge and unlock a massive business opportunity while creating a transformative social impact.

Our team brings together the best of many worlds – sound business practices, deep understanding of the micro-enterprise environment, high achievement orientation and a passion for delivering socio-economic growth. We believe in building solutions, automation and processes that address the challenges that have typically stymied the financial industry. 

Aye Finance is dedicated to working with the most relevant technology to facilitate better financial inclusion and to consequently serve micro-enterprises across the country in a more holistic manner.

Ultimately, at Aye Finance, we believe in people - whether it’s the entrepreneurs we serve, our investors or our own employees. We’re, both, a great place to work with and work for.

#SayAyetoGrowth",https://www.ayefin.com,Financial Services,"1,001-5,000 employees 1,727 on LinkedIn
            
 



    Includes members with current employer listed as Aye Finance Pvt. Ltd, including part-time roles.","Gurgaon, Haryana",2014,,
"Fisdom is an extremely simple app to make smart investments.

We at Fisdom have one goal in mind: Make your money work for you. 

That’s why we’re blending cutting edge technology with personalized financial advice. We believe technology can change the investment advisory industry by making it more accessible, understandable and quick. And we believe our proposition can change the nature of investment advice, making it completely transparent, objective, secure and personal.

We want to make your money work for you, regardless of your net worth or financial knowledge. We want to make investment advisory available to everyone.

Sign up with us at www.fisdom.com or Call us on (+919642596425)",http://www.fisdom.com/,Financial Services,"501-1,000 employees 401 on LinkedIn
            
 



    Includes members with current employer listed as Fisdom, including part-time roles.","Bangalore, Karnataka",2015,"Investment Management, Personal Finance, Save Tax, Build Wealth, Invest Surplus, Financial Planning, Mutual Funds, Investment, Automated Investment Services, retirement planning, Portfolio Management, child's education, child's plan, and tax saving",
"Financial Software and Systems (FSS) is a globally leading provider of payment products and a payment processor. The company offers an integrated portfolio of software products, hosted payment services, and software solutions built over three decades of global experience. FSS, end-to product portfolio includes  Card Issuance, Omni-channel Acquiring and Merchant Management, Payment Analytics, Digital Security, Reconciliation and Settlement, and ATM Monitoring and Management. Headquartered in Chennai, India, FSS is a strategic payments partner for leading global banks, financial institutions, processors, central regulators, and governments across North America, UK, Europe, Middle East,  Africa, and APAC and has 2,500 domain specialists on-board. For more information visit www.fsstech.com",http://www.fsstech.com,Financial Services,"1,001-5,000 employees 2,518 on LinkedIn
            
 



    Includes members with current employer listed as FSS, including part-time roles.","Chennai, Tamil Nadu",1991,"Transaction Switching Services, ATM managed services, Financial inclusion, Processing and hosted services, System integration & Implementation, Digital Payments, Payment Gateway , Card Management System, Prepaid Cards, Digital Wallets, Digital Banking, Instant Payments, Real-time Payments, Merchant Acquiring, POS Solutions, Merchant Management, Mobile Banking , UPI , Aadhaar Payment Services, Financial Inclusion, Big Data, Payment Analytics, Payments Reconciliation, Merchant Analytics, Risk Analytics, Card Analytics, Customer Analytics, Payment Analytics, 3D Secure , Tokenization, Token Vault , Operation Analytics, Card Controls, Omni-Channel Acceptance , Omni-Channel Payments , eKYC, Merchant Management, Open APIs, Microservices, Omni-Channel Banking, Open Banking, BillPayments, and ATM and POS Monitoring","+91 44 4741 5600
            

              Phone number is +91 44 4741 5600"
"Axis Mutual Fund which has Axis Bank as its sponsor is one of the largest mutual funds in India. Axis Asset Management Company (Axis AMC) is the investment manager of Axis Mutual Fund which has Axis Bank and Schroders as its principal shareholders. Axis AMC has investment capabilities covering equity, fixed income, real estate and multi-asset solutions. Apart from managing Axis Mutual Fund, Axis AMC also offers other alternative investment management services including through alternative investment funds (AIF), portfolio management services (PMS) and advisory services to offshore funds/investors.
Axis Mutual Fund has a distinctive investment philosophy that focuses on quality portfolios that have the potential for generating sustainable risk-adjusted returns over the long term for all its investors. 
For more details visit www.axismf.com


Statutory Details: Axis Mutual Fund has been established as a Trust under the Indian Trusts Act, 1882, sponsored by Axis Bank Ltd. (liability restricted to Rs. 1 Lakh). Trustee: Axis Mutual Fund Trustee Ltd. Investment Manager: Axis Asset Management Co. Ltd. (the AMC). Risk Factors: The sponsor is not liable or responsible for any loss or shortfall resulting from the operation of the scheme. 
Mutual Fund Investments are subject to market risks, read all scheme related documents carefully

Do check us on 
Facebook: https://bit.ly/3TksOmD
Twitter: https://bit.ly/3pQ4DPn
Youtube: https://bit.ly/3PLwCKJ

To download the Axis Mutual Fund App
Android: https://bit.ly/3bvHtKI
IOS: https://apple.co/3pQ4V8V",https://www.axismf.com,Financial Services,"501-1,000 employees 740 on LinkedIn
            
 



    Includes members with current employer listed as Axis Mutual Fund, including part-time roles.","mumbai, maharashtra",,"Mutual Funds, ETF, Investment in 1 minute, Investment Packs, Hybrid Fund, ELSS, SIP, Balanced Advantage Fund, Equity Fund, and Debt Fund","8108622211
            

              Phone number is 8108622211"
"Fino Payments Bank the Digital Banking Partner for millions of Indians. #Hamesha
Our phygital network comprises 8 lakh+ merchant enabled banking outlets covering 90% of India’s districts, making us truly India’s very own Local National Bank.",https://www.finobank.com/,Financial Services,"1,001-5,000 employees 4,260 on LinkedIn
            
 



    Includes members with current employer listed as Fino Payments Bank Ltd, including part-time roles.","Navi Mumbai, Maharashtra",2017,"Mobile based banking technologies, Rural Banking, Payments Technology, Banking, Insurance, finance, agent banking, digital payments, cash management, Aadhar enabled payments , and Cash bazaar","022 6868 1414
            

              Phone number is 022 6868 1414"
"Essex delivers transformative business solutions to major global corporations. Every Essex Solution is implemented with the client, who benefits from our industry leading visibility tools that provide intuitive interactive access to the huge data sets our solutions are based upon. Our team has delivered over US $10 BN of profit enhancement to clients in the last five years.
  
We continue to add to our team of 200+ professionals in New York, London, Delhi, and Shanghai. The firm’s senior management brings experience from major corporations, including McKinsey, American Express, Citibank, Barclays, and Booz Allen.

We hire from top universities and invest heavily in our employees through comprehensive training and mentoring programs. Essex' collegial corporate culture ensures that new team members are given the opportunity to work with experienced industry professionals and expand their personal and professional horizons. 

""Working with Chinese and Russian colleagues sitting in India, guided by an industry expert from Colombia, for a US client project managed by a Client Initiative Leader from Guyana…That’s called ‘Being Truly Global’ … but THAT’s what we call- ‘Being TRULY ESSEX' "" BP - Business Analyst - New Delhi

“Essex offers young professionals great opportunities to grow themselves quickly in an open, diversified and highly professional environment. You’re quickly exposed to solve challenging issues, conduct sophisticated analysis and deliver impactful results with corresponding comprehensive trainings and insightful guidance. “ YL - Business Analyst - Shanghai

“Essex is a vibrant mix of energetic, intelligent analysts and experienced senior leadership from across the world, who work together to solve difficult problems. Essex employees have the opportunity to learn, not only about analytics and financial services, but about different cultures and how to work with a team to achieve challenging goals.” DD – Profit Enhancement Specialist – New York",http://www.essexlg.com,Financial Services,"201-500 employees 171 on LinkedIn
            
 



    Includes members with current employer listed as Essex Lake Group, including part-time roles.",,2009,,
"Established in 22 locations worldwide with 4,000 employees, SGSS provides a full range of securities services that are adapted to the latest financial markets and regulatory trends: clearing services, custody and trustee services, retail custody services, liquidity management, fund administration and asset servicing, fund distribution and global issuer services. 
 
Our ambition is to be the reference partner in our main markets, recognised for our service quality and competitiveness, agile solutions and international network coverage.

We build long-lasting, collaborative relationships with our clients to help them go further in their development. In today’s constantly evolving and complex world, we strive to provide our clients with increasingly efficient and reliable securities services on a daily basis to ensure they get ahead.

Our clients are institutional investors (insurance companies, pension funds, governmental organisations and international organisations), asset managers, financial intermediaries (brokers, investments banks, private banks, commercial banks) and corporates.",http://www.securities-services.societegenerale.com,Financial Services,"1,001-5,000 employees 2,129 on LinkedIn
            
 



    Includes members with current employer listed as Societe Generale Securities Services - SGSS, including part-time roles.",,,"Global issuer services, Custody and trustee services, Liquidity management, Clearing services, Fund administration and asset servicing, Asset Servicing, and Front-to-back outsourcing services",
"Cashfree Payments (www.cashfree.com) is a payments and banking technology company that enables businesses in India to collect payments online and make payouts. Cashfree  Payments enables more than 1,00,000 businesses with payment collections, vendor payouts, wage payouts, instant loan disbursements, e-commerce refunds, insurance claims processing, expense reimbursements, loyalty, and rewards payments. Cashfree customers include leading internet companies such as Cred, BigBasket, Zomato, HDFC Ergo, Ixigo, Acko, Zoomcar, and Delhivery among others.",http://www.cashfree.com,Financial Services,"201-500 employees 753 on LinkedIn
            
 



    Includes members with current employer listed as Cashfree Payments, including part-time roles.","Bangalore, Karnataka",2015,"Payment Gateway, Invoicing, Maketplace Settlements, IMPS, NEFT, RTGS, Internet Banking, UPI, Escrow Account, API Banking, and payouts",
"We’ve been at the forefront of trading innovation since 1974, taking on the challenge to deliver an unmatched experience for our clients and raise the bar for tomorrow’s opportunities. 

Today, we’re a global fintech company incorporating the IG, tastytrade, IG Prime, Spectrum and DailyFX brands, with a presence in 20 countries across five continents – Europe, North America, Africa, Asia-Pacific and the Middle East.

We’re an organisation of positive problem-solvers, united and inspired by our purpose, which is to power the pursuit of financial freedom for the ambitious. Our award-winning products and platforms empower go-getters the world over to unlock opportunities around the clock, giving them access to over 19,000 financial markets.

Today, more than 400,000 clients call IG Group home.

IG Group Holdings plc is an established member of the FTSE 250 and holds a long-term investment grade credit rating of BBB- with a stable outlook from Fitch Ratings.",http://www.iggroup.com,Financial Services,"1,001-5,000 employees 2,417 on LinkedIn
            
 



    Includes members with current employer listed as IG Group, including part-time roles. Also includes employees from subsidiaries: IG MENA, DailyFX - Market News & Analysis, and IG証券.",,,"Financial Spread Betting, Contracts for Difference (CFDs), Forex Trading, and Execution-Only Share Dealing",
"Established in 2001, the Dubai Investment Fund (DIF) is one of the world's largest private independent investment funds founded to effectively manage financial resources through diversification into new asset classes and growth oriented investments.

The DIF's structure is designed to operate at the highest levels of global investment. As a world-class investor and asset manager, DIF adheres to the strictest financial and commercial disciplines and has extensive experience investing in various asset classes, including listed securities, real estate, alternative assets and private equity in all major global markets. DIF seeks socially, economically and environmentally attractive investment opportunities and goes beyond short-term returns as DIF seeks balanced and sustainable growth to maximize long-term returns.",https://www.dif.ae,Investment Management,"1,001-5,000 employees 1,307 on LinkedIn
            
 



    Includes members with current employer listed as Dubai Investment Fund (DIF), including part-time roles.","Dubai, United Arab Emirates",2001,,
"GAIN Credit is the new name for Global Analytics. The name change took effect across our group of companies worldwide. Global Analytics India Pvt Ltd will keep its name and will remain a subsidiary of GAIN Credit, Inc. 
For more information on the company please visit our page www.linkedin.com/company/gaincredit",http://www.gaincredit.com,Financial Services,"201-500 employees 123 on LinkedIn
            
 



    Includes members with current employer listed as Global Analytics, including part-time roles.","La Jolla, CA",2003,"Analytics, e-commerce, Consumer Finance, Fintech, and lending solutions",
"India Shelter Finance Corporation (ISFC) is an affordable housing company with operations across 15 states in India, offering affordable housing and small ticket loans against property. 

We are into operations for 12 years and largely cater to self-employed customers with informal income document. Our product offering comprises financing for new house purchases, home expansion and upgrades, home building loans on previously owned land and loans against property. We have worked through years to set up a hassle-free loan management process that is effortless, uncomplicated, and serves the middle and lower segment. Our goal is to fulfil the biggest dream of an average earning Indian citizen to have his/her own house by providing loans up to Rs 30 lakhs.  

Our head office is in Gurugram, Haryana.",http://www.indiashelter.in,Financial Services,"1,001-5,000 employees 1,422 on LinkedIn
            
 



    Includes members with current employer listed as India Shelter Finance Corporation Ltd, including part-time roles.","Gurgaon, Haryana",2010,Home Loans and Loan Against Property,"18005728888
            

              Phone number is 18005728888"
"AAVAS FINANCIERS LIMITED (Formerly known as Au HOUSING FINANCE LIMITED) was originally incorporated as a private limited company at Jaipur, Rajasthan, under the name of “Au Housing Finance Private Limited” under the Companies Act, 1956 on February 23, 2011.

AAVAS is engaged in the business of providing housing loans, primarily in the unreached and under-served market. Presently AAVAS is operating in 13 states namely Rajasthan, Gujarat, Maharashtra, Madhya Pradesh, Delhi, Uttar Pradesh, Chhattisgarh Haryana, Uttarakhand, Himachal Pradesh, Odisha, Karnataka and Punjab.",https://www.aavas.in/,Financial Services,"5,001-10,000 employees 3,210 on LinkedIn
            
 



    Includes members with current employer listed as Aavas Financiers Ltd, including part-time roles.","Jaipur, Rajasthan",2011,"Home Loans, Rural Housing, and Affordable Housing","01800 208 8820
            

              Phone number is  01800 208 8820"
"Shriram Housing Finance Ltd. (SHFL) is a subsidiary of Shriram City Union Finance Ltd. and a part of the over 4 decades old Chennai based Shriram Group. It is a Housing Finance Company (HFC), duly registered with the National Housing Bank and has started business from December 2011. Headquartered in Mumbai, it boasts of an employee strength of over 800+ officials and has 65 branches spread across the country.",https://www.shriramhousing.in/,Financial Services,"501-1,000 employees 1,202 on LinkedIn
            
 



    Includes members with current employer listed as Shriram Housing Finance Ltd., including part-time roles.","Mumbai, Maharashtra",2010,"Home Loan, Loan Against Property, Home Improvement Loan, Home Extension Loan, Home Loan Top up, Home Loan Balance Transfer, and Construction Finance Loan","18001024345
            

              Phone number is 18001024345"
"We, at Axis Finance, provide niche financial solutions in select categories across wholesale and retail segments. Our offerings include Special Situations Funding, Structured Financing and Real-Estate Financing for borrowers in the wholesale segment; and Loan against Debt Mutual Funds & Bonds and LAP for retail borrowers.

Powered by a high-performance culture, our teams demonstrate relentless innovation, customer outreach and strong execution capabilities. Our sound fundamentals have enabled us to build a robust and scalable business model, which helps accelerate business growth and value creation.

Going forward, in addition to growing our existing businesses, we will continue to venture into new categories and geographies that hold high potential.",http://www.axisfinance.in/,Financial Services,"201-500 employees 833 on LinkedIn
            
 



    Includes members with current employer listed as Axis Finance Limited, including part-time roles.","Mumbai, Maharashtra",,"Corporate Lending, Loan Against Property, Special Situation Funding, Structured Financing, Real-Estate Financing, and Loan against Debt Mutual Funds & Bonds",
"Shriram Transport Finance Company Limited (STFC), India's largest player in commercial vehicle finance, was established in the year 1979. The company has niche presence in financing pre-owned trucks for Small Truck Owners (STOs)  and has a network of 1,585 branches, 856 rural centres and tie up over 500 private financiers across the country. 
As on June 30, 2019 our total employee strength was 27,174, including more than 16,471 product executives and credit executives who are colloquially referred to as our field force.

We have approximately 20%-25% market share in pre-owned and about 7-8% market share in new truck financing.   Expanded product portfolio includes  financing of tractors, small commercial vehicles, 3-wheelers, passenger commercial vehicles and construction equipment.",https://www.stfc.in,Financial Services,"10,001+ employees 13,170 on LinkedIn
            
 



    Includes members with current employer listed as Shriram Transport Finance Company Limited, including part-time roles.","Bandra (East), Mumbai",1979,"Commercial Vehicle Finance, Transport Finance Company, Non Banking Finance Company, Financial Services, Shriram Finance, and Small Banking Finance Company","+91 22 4095 9595
            

              Phone number is +91 22 4095 9595"
