Overview,Website,Phone,Industry,Company size,Headquarters,Founded,Specialties
"Advantage One Tax Consulting is a multi-disciplinary group of highly experienced tax professionals who understand the tax practice in its true spirit, examine the issues it faces today and those it likely will encounter in future, our most important goal is to listen to the concerns of our clients and to exceed their expectations, partner with them in decision-making process and always put their interest first. We are ever mindful of the trust and confidence our clients place upon us and we constantly work to deliver results, avoid surprises and be responsible caretakers of our clients’ tax and financial matters. This is why our tax professionals take special care to help our clientele protect and maintain their most essential asset – “their reputation”.

We are a leading tax and accounting firm providing reviews and compilations along with tax preparation for individuals, estates, trusts, Corporations, LLPs, LLCs & Not-For-Profit entities. We also specialize in Business Incorporation, Payroll Processing, and Financial Services for Small Business Entities in US.

To know more about our services, you may simply call us at 703-542-9933 or send an email to clientservices@aotax.com we look forward to high-end tax solutions for employees of your organizations at the most affordable prices.

Sincerely,
AO Tax Team",http://www.aotax.com,,Financial Services,"201-500 employees 326 on LinkedIn
            
 



    Includes members with current employer listed as Advantage One Tax Consulting, including part-time roles.","Sterling, Virginia",2003,"US Individual Tax Filing (Form 1040/1040NR/1040X), Corporate Filings (Form 1120/1120-S/1065/1041), Business Incorporation (LLC/LLP/S-Corp), Payroll Processing, & Book Keeping Services (Quickbooks/Peach Tree), NRI Tax Filing, ITIN Preparation, and US Tax Filing"
"Madura Micro Finance is an NBFC-MFI dedicated to bringing financial products to the underserved rural population.

Working in association with large commercial banks, MMFL brings credit facilities to the rural poor through a wide network of branch offices in Tamil Nadu, Maharashtra, Karnataka, Kerala, Odisha, and Bihar. Today Madura's primary product is a group loan (microcredit) to women self-help groups (SHGs) for the purpose of small business support.",http://www.maduramicrofinance.com,,Financial Services,"1,001-5,000 employees 594 on LinkedIn
            
 



    Includes members with current employer listed as Madura Micro Finance Ltd, including part-time roles.","Chennai, Tamil Nadu",2006,Micro Finance and SHG's
"Our payment terminal is an instrument for the delivery of Collaborative Commerce services that brings together brands, banks & merchants under one roof.

We look at payments in intelligent ways to carve out more value from each transaction. Our 20+ years of legacy in the fintech industry has helped us simplify payments for every Indian across the nation.

While increased digitalization has heightened the ways to access consumers, it has become far more difficult for brands to stand out in the clutter and get consumers to make a purchase decision. 

We help businesses break through this clutter by partnering with brands that the consumer already loves & banks they trust. 

Our Collaborative Commerce platform brings together banks, brands & merchants to partner on payment transactions and turns them into attractive and unique purchase tools that nudge consumers to buy more.

We understand it has become a struggle for businesses to acquire and retain customers hence Innoviti has transformed itself into a  Collaborative Commerce Platform while being the purchase partner to every Indian.",http://www.innoviti.com,,Financial Services,"201-500 employees 530 on LinkedIn
            
 



    Includes members with current employer listed as Innoviti Payment Solutions , including part-time roles.","Bangalore, Karnataka",,"Payments Processing, Payments Management, EMI, Payments automation, Merchant Services, buynowpaylater, Growth Partner, and Collaborative Commerce Platform"
"MyMoneyMantra (MMM) is India’s largest phy-gital (Physical-Digital) marketplace for loans, mortgages and credit cards.

MMM helps customers compare products across 100+ Financial Institutions and demystifies the world of personal finance. The Company’s mission is to serve the need of every Indian by delivering the right suite of financial products in the most efficient manner.

Over the last 5 years, MMM has originated $4 Billion of credit and helped millions of Indians navigate the world of personal finance. 

MyMoneyMantra was founded in 1989 and is headquartered in New Delhi, India.",http://www.mymoneymantra.com,,Financial Services,"1,001-5,000 employees 1,182 on LinkedIn
            
 



    Includes members with current employer listed as MyMoneyMantra, including part-time roles.","New Delhi, Delhi",1989,"Personal Loan, Home Loan, Business Loan, Loan Against Property, and Credit Card"
"IDBI Capital Markets & Securities Ltd. is one of India’s leading financial service providers. We, over the years, are reputed for our ability to perceive the true potential of businesses and are experienced to optimally mobilize resources for our corporate, institutional and retail clients. We are a team of over 200 client-focused professionals with Pan India presence. Our clients appreciate our innovative approach, efficient delivery and economical solutions. We are a strong & experienced team that has successfully delivered for Indian Business across SME/ midcap/ largecap names. We are technology invested with a huge retail base, serviced through 13 spread out offices.

Our lineage with IDBI Bank, gives us humble and transparent beginning. We, supported by our promoter, take pride in being able to provide solutions to our clients across their balance sheet needs, during their life cycle.

Under Mr.Iswar Padhan, MD&CEO, we have aggressively built stronger relationships and clientbase.  

We offer honest, effective, perdurable and compliant advice to our corporate and retail clients. Our focus is building mutually beneficial long term relationships with our clients. Our services for corporates encompass Mergers & Acquisitions, IPOs, FPOs, Buybacks, Private Placements, QIPs, Loan Syndications, Debt Restructuring, Corporate Advisory, Project Advisory, Portfolio Management; while for the retail clientele we offer Demat Services, Online Trading in Equities and Derivatives, Mutual Fund investments and high quality unbiased Research inputs. 

Institutional clients are also offered Equity and Derivative trading services as also Research inputs to suit their needs from our team of experienced Research Analyst covering Auto, Banking, Capital Goods, Cement & Construction, IT, Media, Oil & Gas, Midcap, Pharma etc.

Our retail services are mainly accessible through our retail trading portal www.idbidirect.in and our android & IOS based trading application idbidirect.",http://www.idbicapital.com,"1800 22 3366 
            

              Phone number is 1800 22 3366",Financial Services,"501-1,000 employees 704 on LinkedIn
            
 



    Includes members with current employer listed as IDBI Capital Markets & Securities Ltd., including part-time roles.","Mumbai, Maharashtra",1993,"Investment Banking, Merchant Banking, Stock Broker Retail and Institutional, and Distribution MF and Debt"
"FlexiLoans is an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses. Over 80% of Loan proposals from SMEs currently are rejected by institutional channels on account of inadequate financial history or collaterals. With the fast and ubiquitous digital adoption in India and increased avenues to leverage data analytics, we are standing on the verge of Banking transformation in this country which will help us efficiently cater to the large untapped and unserved demand. We wish to make the ‘social and alternative scoring’ of SMEs and Individuals a big opportunity for the economy that will far out place the limited insights that financial bureau provide. We believe our technology-powered online marketplace is the best model to meet the financial requirements of SME’s who do not have credit history and hence cannot avail loans from traditional banking channels.",http://flexiloans.com,,Financial Services,"201-500 employees 211 on LinkedIn
            
 



    Includes members with current employer listed as FlexiLoans, including part-time roles.","Mumbai, Maharashtra",2016,
"SATYA began its microfinance operations in January 2017. The company utilized demonetization as an opportunity to rework on the business strategy through cashless transactions. SATYA is an institution built with a vision of change, transformation and is a differentiator in financial inclusion space and its approach is well recognized by industry experts and professionals across different sectors. It is committed to being a socially responsible organization with a focus on Health, Education, Financial Literacy, Nasha-Mukt Samaaj, Gender Equality, and Swachh Bharat. The Company is spreading social awareness messages in its area of operations.
Satya MicroCapital Limited primarily caters to women who own businesses and are looking for means of expansion. The group lending model allows groups of borrowers to share the liability and responsibility to repay loans while helping them build a strong credit profile to avail finance from traditional financial institutions.
SATYA has adopted a unique Limited Liability Group (LLG) Model for extending loans and ensuring repayment. The company’s LLG model distributes the liability among each group member which exists only up to 10% of Loan Tenure in bi-weekly collections. Through the model, the company aims to add a social touch to lending by integrating modern technology into the Micro Finance industry.

Currently, SATYA has established 150 branches in 131 districts in 22 states (Assam, Bihar, Chandigarh, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jammu & Kashmir, Jharkhand, Karnataka, Madhya Pradesh, Meghalaya, Odisha, Pondicherry, Punjab, Rajasthan, Tamil Nadu, Tripura, Uttar Pradesh, Uttarakhand and West Bengal).",http://www.satyamicrocapital.com,,Financial Services,"1,001-5,000 employees 464 on LinkedIn
            
 



    Includes members with current employer listed as SATYA MicroCapital Limited, including part-time roles.","New Delhi, Delhi",2017,
"Indifi believes in helping small businesses grow by offering loans to those that have potential and intent. Most such businesses have little or no access to financing from traditional institutions such as banks or lack either collateral or finance data trail to access a loans.

Indifi is a technology platform that gathers and analyses data of businesses from various sources and draws insights to judge their credit worthiness, their past and current performance in context of the industry they are operating in. This differentiated approach helps find businesses that are low on risk and high on promise thus opening up possibilities for those who earlier had no access to short or long term business funding.

Indifi takes the relevant applications to multiple lenders, increasing the chances to secure a loan and creates choice for lenders to pick the ones they wish to back.

The approach makes the loan process smart by minimizing risk, reducing paperwork and associated costs, while providing a simple and hassle free experience setting the businesses on the path to growth.",http://www.indifi.com,,Financial Services,"501-1,000 employees 370 on LinkedIn
            
 



    Includes members with current employer listed as Indifi, including part-time roles.","Gurgaon, HARYANA",2015,"business loan, digital lending platform, smb finance, digital lender, working capital loan, invoice discounting, line of credit, collateral free loan, and small loans"
"Blackhawk Network Strategic Development Centre, Bengaluru has commenced operations in 2019. This centre is focused on providing tech solutions at global scale. Blackhawk Network delivers branded payment solutions through prepaid products, technologies and network that connect brands and people. We collaborate with our partners to innovate, translating market trends in branded payments to increase reach, loyalty and revenue. Serving 26 countries, we reliably execute security-minded solutions worldwide. Join us as we shape the future of global branded payments.",https://blackhawknetwork.com/,,Financial Services,"1,001-5,000 employees 177 on LinkedIn
            
 



    Includes members with current employer listed as Blackhawk Network India, including part-time roles.","Bengaluru, Karnataka",,"Gift Cards, Prepaid Telecom Products, Prepaid Financial Products, Gift Card Services, Card Exchange, Corporate Incentives, Technology & Innovations, Digital Commerce, Card Production and Fulfillment, Customer Care, Category Management, Research, and Marketing & Promotions"
"FNFI is the strategically located global captive service center for all family companies of Fidelity National Financial within the US Title Industry. FNFI is wholly owned and managed by FNF (NYSE: FNF) and shares the FNF company values and customer focus. FNF India has been providing business, knowledge based and technology services since 2005 and has over 4000 employees. 

Our parent company  Fidelity National Financial, Inc. (NYSE: FNF), currently ranked number 288 on Fortune 500 list, is a leading provider of title insurance, specialty insurance and claims management services. Nationally recognized as one of the best managed and most admired companies in the US, FNF’s business divisions includes; Fidelity National Title Group (FNTG) which is one of the America’s largest and most respected title insurance and escrow companies. The title insurance underwriters that comprise FNTG – Fidelity National Title, Chicago Title, Ticor Title, Commonwealth Land Title, Lawyers Title, Security Union Title and Alamo Title – currently issue  residential and commercial title insurance policies throughout the United States and offer extensive expertise for global real estate transactions. The FNTG family of companies also includes Service Link, a leading provider of centralized title and closing services to national lenders.

FNF India is ISO 27001:2013 certified and compliant with SOC2 Type 2 trust service principles.",https://fnfindia.co.in,,Financial Services,"1,001-5,000 employees 544 on LinkedIn
            
 



    Includes members with current employer listed as FNF India Private Limited, including part-time roles.","Bengaluru, Karnataka",2005,"Title Insurance, BPO/ KPO, Mortgage Services, Technology Services, Legal Services, Operations, IT solutions, Application Development, Technology Consulting, Application Modernization, Title Search, Escrow Services, and Fortune 500"
"Finova stands for financial innovation. It is NBFC licensed by Reserve bank of India. The company is headquartered in Jaipur & provides loan to both urban poor & rural poor to meet their productive requirements in starting new business or for growing an existing business.  Founded by Mr Mohit Sahney in 2015, Finova is a young, growing company with a big vision: to transform credit delivery to unorganized, unreached & unserved segments.
Idea of Finova Capital originated with a belief that if supported well then micro & small medium enterprises can play a pivotal role in growing Indian economy.

We at FINOVA believe that by supporting and creating enabling opportunities for micro & small business, lives can be enriched & communities can be transformed. The company's aim is to reach out to financially excluded unorganized, Unreached MSME sector. The objective is to make finance available at a reasonable cost & deliver in a transparent manner.",http://www.finova.in,"0141 4118202
            

              Phone number is 0141 4118202",Financial Services,"1,001-5,000 employees 539 on LinkedIn
            
 



    Includes members with current employer listed as Finova Capital, including part-time roles.","Jaipur, Rajasthan",2015,
"We at 1 Finance are reimagining the space of personal finance advisory in India. For us, this means offering advice that takes into account not just your financial status and life goals but also your traits and behaviours, in order to equip you with the ability to attain financial well-being. We’re doing this by building an ecosystem that caters to the long-term well-being of our members, and aligning our goals with the interests of all other stakeholders as well, which in turn triggers a shift towards transparency in the industry at large. 

Knowing your MoneySign™ lets you in on how your mind works when it comes to money — the instincts at play when you save, invest and handle your money and the biases you’re inclined to have. Our MoneySign™ assessment framework is based on the five-factor model of personality, a tool used by renowned psychologists the world over. 

Once you know your MoneySign™, we can work together to provide the right advice for your personal financial goals. With Algo-Assist — our proprietary algorithm that sorts through the wide array of financial instruments out there to recommend the right ones for you in appropriate size and amount. - our vetted, qualified financial advisors are able to offer expert guidance with advice that is honest, unbiased and impactful. 

Our mission is to enable millions of individual Indians, just like you, to achieve true financial independence.

1 Finance is based in Mumbai and is backed and mentored by marquee investor Marwadi Chandarana Group — a pioneering force in India’s financial services sector that also powers successful operations in the fields of education and alternative energy. The Marwadi Chandarana Group also comprises Marwadi University, Marwadi Financial Services, Pixon, and Marwadi Chandarana Intermediaries Brokers Private Limited (MCIBPL).",http://www.1finance.co.in,,Financial Services,"201-500 employees 121 on LinkedIn
            
 



    Includes members with current employer listed as 1 Finance, including part-time roles.","Mumbai, Maharashtra",2021,Personalized Advisory and Financial Services
"Singapore FinTech Festival (SFF), the world’s largest FinTech festival and global platform for the FinTech community, is organised by the Monetary Authority of Singapore, Elevandi, and Constellar, and in collaboration with The Association of Banks in Singapore.",http://www.fintechfestival.sg,,Financial Services,"1,001-5,000 employees 29 on LinkedIn
            
 



    Includes members with current employer listed as Singapore FinTech Festival, including part-time roles.",,2016,
"Midland Microfin Ltd is the first microfinance institution based out of Punjab Region. Since its inception, the organization has always focused on encouraging and empowering women entrepreneurs from the bottom of the pyramid section of the society.

Our vision is to be a world-class, role model, fintech-led international microfinance institution providing support to economically & socially underpriviledged section of the society in their entrepreneurial journey.

We believe in bringing innovations, leveraging fintech solutions in the process to ensure the effective delivery of our services.
 
Our financial product offering comprises of JLG loan, Individual loan, Dairy loan, Water Purifier loan, and Solar light loan. Our offerings are designed not only to empower the women financially but also to help them improve their living standards. We envision to be a one-stop solution to cater to all the financial needs of our clients.
 
At Midland Microfin,  we believe in building a lasting relationship with all the stakeholders which is beyond microfinance. It’s the relationship that we build through our services which makes us stand apart from the line. 
To know more about us visit our website.",http://midlandmicrofin.com/,"8198856400
            

              Phone number is 8198856400",Financial Services,"1,001-5,000 employees 524 on LinkedIn
            
 



    Includes members with current employer listed as Midland Microfin Ltd, including part-time roles.","Jalandhar, Punjab",2011,"Financial Inclusion, Techno Savvy, Continuous Innovation, Microloans, First Microfinance Institution of the Region, and Great Place to Work Certified"
"A reputed Non-Banking Finance Company built with the vision of making the process of providing loan and advances easy and robust. Our experience make us efficient in providing faster credit delivery and has a vast reach.

Key Strength of LIFC:
Strong Capital Base of Promoter
Superior Quality
Services
Corporate
Governance
Moving towards the ERA of Digitalisation

#Loan #BusinessLoan #MortgageLoan #Finance #Loans_In_Jaipur #FinanceJob #msmeLoan",https://www.lifc.co.in/,"18001217747
            

              Phone number is 18001217747",Financial Services,"501-1,000 employees 230 on LinkedIn
            
 



    Includes members with current employer listed as Laxmi India Finleasecap Private Limited, including part-time roles.","Jaipur, Rajasthan",,
"A two decades old integrated Financial Services Group with established fee businesses in Investment Banking, Institutional Equities, Wealth Management and emerging Lending businesses in the SME, Affordable Housing & Micro Finance. We have also forayed into Insurance Distribution and Alternatives Investment Management recently.",http://www.centrum.co.in,,Financial Services,"1,001-5,000 employees 523 on LinkedIn
            
 



    Includes members with current employer listed as Centrum India, including part-time roles.",,1997,"Wealth Management, Micro Finance, Investment Banking, Stock Broking, Loans, Insurance, Investment Advisory, Real Estate Advisory, and Infrastructure & Defense Advisory"
"Way2Wealth provides a wide range of personalized wealth-management and investment services to its retail and institutional clients. These include equities, commodities and currency trading, portfolio advisory and management services, investment advisory services, distribution of mutual funds, IPOs, loans and insurance, as well as online securities broking and depository services. Way2Wealth also provides fee based personal financial planning services for its retail and corporate clients.",http://www.way2wealth.com,,Financial Services,"501-1,000 employees 720 on LinkedIn
            
 



    Includes members with current employer listed as Way2Wealth Brokers Pvt. Ltd., including part-time roles.","Bengaluru, Karnataka",1984,Over the years Way2Wealth has developed a strong reputation for excellent customer service and navigating its investors through all the ups and downs in the market.
"Smarter Business Lending with the Biz2Credit Technology Platform. Leverage our Technology Platform to AUTOMATE your Business Lending. 

Biz2Credit was founded in 2007 and is backed by Nexus Venture Partners. Since its inception, Biz2Credit has become the leading online marketplace for small business funding, having arranged more than $2 billion in small business funding for thousands of companies throughout the U.S.

Our proprietary platform matches borrowers to sources of capital based on each company's unique profile -- completed in only a few minutes -- in a safe, efficient, price-transparent environment. Our network consists of 2 million users, credit rating agencies such as D & B and Equifax, and small business service providers including CPAs and lawyers. Biz2Credit's widely reported Small Business Lending IndexTM is followed closely by the SBA, and the other lenders, government agencies and the President's Council of Economic Advisers.",https://www.biz2x.com/,,Financial Services,201-500 employees,"New York, NY",2007,Digital lending solution
"Urban Money is India’s first unbiased loan advisory services firm. We advise on all kinds of loans and mortgage solutions.  

For piecing together the multiple requirements of borrowing process like interest rates, multiple lender options, comparisons, documentation, etc. of a client, Urban Money has on-boarded talents from various banking & financial services giants like HSBC, Citibank, Standard Chartered Bank, Nomura International, ICICI, RKPL, Andromeda, etc. This helps us set up desired partnerships with leading financial institutions to deliver hassle-free, yet comprehensive solutions to the clients.
Urban Money is a distributor for several reputed financial institutions including HDFC, ICICI, Axis, Kotak Mahindra, PNB, Standard Chartered, Aditya Birla Finance, Tata Capital, DHFL, Indiabulls, Fullerton, Cholamandalam, Religare, Edelweiss, Reliance Capital, etc.  

Our USP lies in our unique business model which is similar to the private banking model as we depute individual loan portfolio counselors for each of our clients, ensuring end-to-end services. We manage the entire borrowing process on behalf of the client that includes choosing the right product from the appropriate lending organization, managing documentation, advising on professional issues pertaining to taxation & insurance and assisting the client till the entire loan is disbursed.

We are currently present in 100+ locations in India, facilitating home loans for a huge diaspora of Indian population.",https://www.urbanmoney.com/,"18001087000
            

              Phone number is 18001087000",Financial Services,"1,001-5,000 employees 683 on LinkedIn
            
 



    Includes members with current employer listed as Urban Money India, including part-time roles.","Gurgaon, Haryana",2014,"Quick Eligibility, Tax Rebate Calculator, Home Loan, Balance Transfer, Loan Against Property, Commercial Property Loan, Business Loan, Loans for NRIs, Personal Loans, Lease Rental Discounting, and EMI Calculator"
"Started in 2000, today Prudent Corporate Advisory Services Ltd. (Prudent) has emerged as an Independent Retail Wealth Management Services Group having diversified verticals across Mutual Funds, Insurance, Broking, Fixed Income, Property, Loan and other allied products.

Today, Prudent manages more than Rs. 52000 Crore assets and is India’s 3rd largest in terms of retail assets on all India basis.

Today, Prudent Group operates through 110+ branches across 20 states in India having 1000+ employees. Prudent has one of India’s largest partner network of more than 25000 mutual fund distributors.

We deliver comprehensive and bespoke financial services to Individuals, Corporate, HNIs and UHNIs matching their investment aspirations and risk appetite through our team of 1000+ highly skilled professionals & large network of Channel Partners. Over a period of time, our market dominance has earned us not only trust and confidence but many accolades.

In the year 2018, Prudent offered minority stake to a US-based 50-year-old leading global growth private equity firm TA Associates. This investment will add lot of synergies in the growth of the Prudent Group in large and developing India’s Financial Services space.

In May 2022, with the listing on the BSE and NSE, Prudent has embarked on a new journey of growth. 

Come, be a part of Prudent family and let us grow together.",http://www.prudentcorporate.com,"079-40209600
            

              Phone number is 079-40209600",Financial Services,"1,001-5,000 employees 792 on LinkedIn
            
 



    Includes members with current employer listed as Prudent Corporate Advisory Services Ltd., including part-time roles.","Ahmedabad, Gujarat",2000,"Wealth Management, Mutual Funds, Equity Broking, Insurance, and Properties (Realty)"
"RuPay is the first-of-its-kind domestic Debit and Credit Card payment network of India, with wide acceptance at ATMs, POS devices and e-commerce websites across India. It is a highly secure network that protects against anti-phishing. The name, derived from the words ‘Rupee and ‘Payment’, emphasises that it is India’s very own initiative for Debit and Credit Card payments. It is our answer to international payment networks, expressing pride over our nationality.

RuPay is a product of NPCI, the umbrella organisation that powers retail payments in the country. The provision under the Payment and Settlement Systems Act, 2007, empowered the Reserve Bank of India (RBI) and Indian Banks’ Association (IBA) to create a secure electronic payment and settlement system in India.",https://rupay.co.in/,,Financial Services,"1,001-5,000 employees 26 on LinkedIn
            
 



    Includes members with current employer listed as RuPay, including part-time roles.","Mumbai, Maharashtra",2011,"finance , domestic cards, and financial service"
"Spandana Sphoorty Financial Limited (SSFL) has been operating as a Non-Banking Finance Company (NBFC) incorporated under the Companies Act, 1956 and licensed by the Reserve Bank of India under the Reserve Bank of India Act, 1934 to carry on the business of a Non-Banking Financial Institution without accepting public deposits. With the release of NBFC- Micro Finance Institution (NBFC-MFI) as a new category of NBFCs, the company has been reclassified as NBFC-MFI effective April 13, 2015.  

The micro-credit program of Spandana started in 1997 when Spandana operated as a Society (Spandana Urban and Rural development Organisation – SURDO). Later, it formalized itself into an NBFC (SSFL). Spandana’s lending programme is committed to strengthening the socio-economic status of low-income households – particularly women – in rural and urban areas by providing financial services on a continual basis in order to improve livelihoods, establish identity and enhance self-esteem.

Spandana follows both the group based and the individual micro-credit lending model wherein both the models, the loans are given to individuals based on their household economics. Besides micro-credit, it has other products – like – Farm Equipment, loans against Gold jewellery etc. 

For more Information, please visit us at www.spandanaindia.com",http://www.spandanaindia.com/,,Financial Services,"1,001-5,000 employees 2,518 on LinkedIn
            
 



    Includes members with current employer listed as Spandana Sphoorty Financial Limited, including part-time roles.","Hyderabad, Telangana",1997,Micro-Finance
"SMEs are the future and form the backbone of every industry. As a corporate, one is heavily reliant on their supply chain consisting of SMEs (whether stockists, distributors, dealers or retailers) to further their growth. However, with crores of rupees stuck in unpaid invoices and receivables every month, corporates often are unable to fully optimize their potential to grow.

Unlock this potential with Mintifi’s Advanced Receivables Management Suite that will not only enable you to monetize your receivables instantly, but also provide an array of solutions right from invoicing to collections and risk management to recon! Catering to 250+ cities pan-India, Mintifi is your trusted channel finance partner to scale your business to newer heights while solving for your supply chain’s working capital woes.

Get access to more customers and spread your distribution reach across tier 2 & 3 markets as well. Just leave your Supply Chain Management to us and enjoy our one-stop accounts receivables management solution for all- right from invoice payments, reconciliation, credit risk assessment as well as collections- all under one roof!

Founded in 2017, Mintifi has already created a stir in the market by bringing automation to the forefront in an otherwise traditional and largely manual lending space. Mintifi is backed by investors including International Finance Corporation (an arm of the World Bank), Lok Capital and Growth Catalyst Partners. 

Contact us: help@mintifi.com
Subscribe: https://www.linkedin.com/company/mintifi
Follow: https://www.instagram.com/mintifi.pvt.ltd/
Say Hi: https://www.facebook.com/officialmintifi
Learn More: https://www.mintifi.com/",https://mintifi.com/,,Financial Services,"201-500 employees 243 on LinkedIn
            
 



    Includes members with current employer listed as Mintifi, including part-time roles.","MUMBAI, Maharashtra",2017,"Working Capital Loans, Unsecured Business Loans, Channel Financing, and Supply Chain Finance"
"Since 1972, Phoenix American has focused on empowering the alternative investment fund industry. The company offers an end-to-end fund operations suite: fund accounting, fund administration, transfer agency, 1099/K-1 production, financial and sales reporting, compliance services, printing, mailing and fulfillment services - all specifically designed for alternative investments. 

Gus Constantin, Chairman and Chief Executive Officer, founded Phoenix American as an equipment leasing fund sponsor in Marin County, California. From the company’s origins as a fund sponsor, advanced technology platforms and operation procedures were developed and perfected that now make Phoenix American a premier back office service provider for alternative funds. 

Today, Phoenix American has offices in California, New Hampshire, Great Britain, Ireland, India and Cuba. The company is an SEC registered transfer agent and provides a complete range of SOC 1, Type II audited back office outsourcing services performed by experienced operations staff trained in accord with Securities Transfer Association (STA) guidelines. Services include: fund administration, fund accounting, transfer agency, tax services, sales reporting, investor accreditation, CRM solutions, phone team support, printing and fulfillment. Phoenix American also provides administration and accounting services for securitization funds and is an industry leader in the commercial aircraft category.

Phoenix American clients include Hedge Funds, Private Equity, Venture Capital, Non-Traded REITs, BDCs, Securitization Funds, Commodity Pool Operators and Equipment Leasing Funds. The company provides services and consultation for every structure of alternative investment including: 506b funds, 506c funds, Regulation A+, Regulation D, 40 Act Funds, registered public offerings, private funds and Limited Partnerships.",http://www.phxa.com,,Financial Services,"201-500 employees 129 on LinkedIn
            
 



    Includes members with current employer listed as Phoenix American Financial Services, including part-time roles.","San Rafael, California",1972,"Transfer Agent, CRM - Sales & Asset Management Reporting, Securitization Administration, Tax Preparation - 1099/K1 Processing, Fund Accounting, Investment Administration, Data Aggregation & Reporting Solutions, Data Cleaning, and Printing & Fullfillment"
"Dolat Capital Market Pvt. Ltd. is a multi strategy trading firm, dedicated to producing superior returns adhering to mathematical and statistical techniques. We trade actively in all Asset classes: equities, futures, options, commodities, currencies and fixed income taking advantage of our ultra low latency infrastructure. Our low latency infrastructure is in C++, one of the most competitive in terms of latency.",http://www.dolatcapital.com,,Financial Services,"201-500 employees 213 on LinkedIn
            
 



    Includes members with current employer listed as Dolat Capital , including part-time roles.","Mumbai, Maharashtra",1970,
"In response to the needs of our clients (heightened during the pandemic), Uploan’s offering has expanded beyond financial assistance to include on-demand learning, mental health support, and relevant FREE insurance protection. Growing up into SAVii is the translation of our evolution into a holistic tool for empowerment of your workforce.

At SAVii, a salary is more than just take home pay - it’s the safest vehicle to financial empowerment. We support over 400,000 employees with safe, convenient and affordable loans, advances, mental health support, financial education and COVID insurance, with no risk or obligation for employers. Our 200+ employer partners get data insight that can help manage attrition and unlock engaged, productive employees. We’re to transform lives with you. Let’s make financial power at work a reality in your workplace!",http://www.savii.io,,Financial Services,"201-500 employees 309 on LinkedIn
            
 



    Includes members with current employer listed as SAVii, including part-time roles.","Makati City, Metro Manila",2017,"Employee Benefits, Salary Loans, Business Loans, Insurance, Employee Relations, Financial Wellness, FinTech, and Financial Well-Being"
"Veritas Finance Private Limited is an organization started with the primary intention of reaching out to the customers who either have no access or in-adequate access to financial services in the informal sector. 'Veritas'​ in Latin mean truth. True to its name, Veritas is focused on making a true impact through inclusive access to financial services on the customers engaged in informal activities.",http://www.veritasfin.in,"914446150011
            

              Phone number is 914446150011",Financial Services,"1,001-5,000 employees 746 on LinkedIn
            
 



    Includes members with current employer listed as Veritas Finance Private Limited, including part-time roles.","Chennai, Tamil Nadu",2015,"Inclusive Finance, MSME Finance, Mortgage backed Finance, Business Loan for Expansion, Working Capital Finance, and Small Business Finance"
"DMI Housing Finance facilitates the government’s ‘housing for all’ mission, by providing effective and efficient loans, especially to those in the lower income and economically backward segments. We provide customized loans for various housing-related purposes, including the purchase of residential homes and plots of land for residential purposes, construction of new houses, renovation and extension of existing homes, etc. We also offer Loans against Property, Builder loans and Corporate Loans. DMI Housing Finance is a subsidiary of DMI Finance, a Non-Banking Finance Company in the business of providing customized credit solutions to corporates. DMI Finance is headquartered in Delhi.",http://www.dmihousingfinance.in/,"+91-114124444
            

              Phone number is +91-114124444",Financial Services,"201-500 employees 191 on LinkedIn
            
 



    Includes members with current employer listed as DMI Housing Finance , including part-time roles.","New Delhi, Delhi",2008,
"InSync Analytics is a pioneering fintech company with a recognized brand name. ONLY Provider of Pre-built Financial Models backed by Consensus and Human Assets and delivered via Proprietary Leading Edge Technology

InSync Analytics is creating the first financial modeling toolbox to offer consensus estimates, company and IPO models, and outsourced analytical support services. Our proprietary, best in class consensus is sourced from 500+ research providers, with hundreds of line items for financials and KPIs for 5,000 companies globally. We strive to provide the most accurate and highest caliber of services to help asset managers and hedge funds identify alpha and make smart investment decisions. 

InSync Consensus estimates are highly granular covering 250+ line items —> financial metrics such as organic, SSS revenue growth, industry-specific product/segment information, KPIs. 

InSync Consensus is available near real-time via WEB-BASED INTERFACE / API / CUSTOM EXCEL SPREADSHEETS.  We cover over 5,000 global companies, with estimates sourced from 500+ research providers. 

InSync Consensus is synonymous with accuracy and reliability, subject to rigorous quality control, and used by major hedge funds, traditional asset managers and corporates.

For more information email us at: inquiries@insyncanalytics.com",http://www.insyncanalytics.com,"6464250063
            

              Phone number is 6464250063",Financial Services,"201-500 employees 188 on LinkedIn
            
 



    Includes members with current employer listed as InSync Analytics Corp., including part-time roles.",,2006,"Consensus Grids, Interactive Models, Trading Comparable Analysis, Industry Models, Street Estimates, KPI Forecasts, Sellside Estimates, KPIs, Street Estimates Aggregation, Bespoke Financial Modeling, Custom Financial Models, and Granular Street Estimates"
